analyteName	analyteType	mzValue	retentionTime	msLevel	internalStandard	product
Sodium Formate-PosRef1	Mass Calibration	90.76644		1		
Sodium Formate-PosRef2	Mass Calibration	158.964068		1		
Sodium Formate-PosRef3	Mass Calibration	226.951491		1		
Sodium Formate-PosRef4	Mass Calibration	294.938915		1		
Sodium Formate-PosRef5	Mass Calibration	362.926338		1		
Sodium Formate-PosRef6	Mass Calibration	430.913762		1		
Sodium Formate-PosRef7	Mass Calibration	498.901186		1		
Sodium Formate-PosRef8	Mass Calibration	566.888609		1		
Sodium Formate-PosRef9	Mass Calibration	634.876033		1		
Sodium Formate-PosRef10	Mass Calibration	702.863456		1		
Sodium Formate-PosRef11	Mass Calibration	770.85088		1		
Sodium Formate-PosRef12	Mass Calibration	838.838303		1		
Sodium Formate-PosRef13	Mass Calibration	906.825727		1		
Sodium Formate-PosRef14	Mass Calibration	974.81315		1			
1-methylhistidine	Analyte	340.1404	2.56	1	Arginine-13C6,15N4	
3-methylhistidine	Analyte	340.1404	2.47	1	Histidine-13C6,15N3	
4-hydroxyproline	Analyte	302.1135	1.57	1	Asparagine-13C4,15N2	Product 1
Product 1	Product	171.055	1.57	2		
Alanine	Analyte	260.103	2.41	1	Alanine-13C3,15N	Product 2
Product 2	Product	171.055	2.41	2		
Alanine-13C3,15N	Internal Standard	264.1101	2.41	1		Product 2
alpha-Aminobutyric Acid	Analyte	274.1186	3.01	1	Proline-13C5,15N	Product 3
Product 3	Product	171.055	3.01	2		
Aminoadipic Acid	Analyte	332.1241	1.16	1	Serine-13C3,15N	Product 4
Product 4	Product	171.055	1.16	2		
Arginine	Analyte	345.167	2.55	1	Arginine-13C6,15N4	Product 5, Product 6, Product 7
Arginine-13C6,15N4	Internal Standard	355.1752	2.55	1		Product 6
Product 5	Product	175.119	2.55	2		
Product 6	Product	171.055	2.55	2		
Product 7	Product	70.065	2.55	2		
Asparagine	Analyte	303.1088	1.79	1	Asparagine-13C4,15N2	Product 8
Asparagine-13C4,15N2	Internal Standard	309.1163	1.79	1		Product 8
Product 8	Product	171.055	1.79	2		
Aspartic Acid	Analyte	304.0928	0.81	1	Aspartic Acid-13C4,15N	Product 9
Aspartic Acid-13C4,15N	Internal Standard	309.1033	0.81	1		Product 9
Product 9	Product	171.055	0.81	2		
beta-Alanine	Analyte	260.103	2.13	1	beta-Alanine-13C3,15N	Product 10
beta-Alanine-13C3,15N	Internal Standard	264.1101	2.13	1		Product 10
Product 10	Product	171.055	2.13	2		
beta-Aminoisobutyric Acid	Analyte	274.1186	2.55	1	Proline-13C5,15N	Product 11
Product 11	Product	171.055	2.55	2		
Citrulline	Analyte	346.151	2.15	1	Citrulline-13C5	Product 12
Citrulline-13C5	Internal Standard	351.1678	2.15	1		Product 12
Product 12	Product	171.055	2.15	2		
Cysteine-AccQTag	Analyte	292.075	2.88	1	Cysteine-13C3,15N-AccQTag	
Cysteine-13C3,15N-AccQTag	Internal Standard	296.0821	2.88	1		
Cystine	Analyte	291.0672	2.88	1	Cystine-13C6,15N2	
Cystine-13C6,15N2	Internal Standard	295.0743	2.88	1		
Ethanolamine	Analyte	232.1081	3.33	1	Proline-13C5,15N	Product 13
Product 13	Product	171.055	3.33	2		
Glutamic Acid	Analyte	318.1084	1	1	Glutamic Acid-13C5,15N	Product 14
Glutamic Acid-13C5,15N	Internal Standard	324.1223	1	1		Product 14
Product 14	Product	171.055	1	2		
Glutamine	Analyte	317.1244	1.94	1	Glutamine-13C5,15N2	Product 15
Glutamine-13C5,15N2	Internal Standard	324.1353	1.94	1		Product 15
Product 15	Product	171.055	1.94	2		
Glycine	Analyte	246.0873	1.99	1	Glycine-13C2,15N	Product 16, Product 17
Product 16	Product	171.055	1.99	2		
Product 17	Product	116.0499	1.99	2		
Glycine-13C2,15N	Internal Standard	249.0911	1.99	1		
Histidine	Analyte	326.1248	2.25	1	Histidine-13C6,15N3	Product 18
Product 18	Product	110.071	2.25	2		
Histidine-13C6,15N3	Internal Standard	335.136	2.25	1		Product 19
Product 19	Product	165.089	2.25	2		
Homocysteine-AccQTag	Analyte	306.0907	3.3	1	Cysteine-13C3,15N-AccQTag	
Isoleucine	Analyte	302.1499	4.11	1	Isoleucine-13C6,15N	Product 20
Isoleucine-13C6,15N	Internal Standard	309.1671	4.11	1		Product 20
Product 20	Product	171.055	4.11	2		
Leucine	Analyte	302.1499	4.2	1	Leucine-13C6,15N	Product 21
Leucine-13C6,15N	Internal Standard	309.1671	4.2	1		Product 21
Product 21	Product	171.055	4.2	2		
Lysine	Analyte	487.2088	4.22	1	Lysine-13C6,15N2	Product 22
Product 22	Product	244.1081	4.22	2		
Lysine-13C6,15N2	Internal Standard	501.2432	4.22	1		Product 23
